LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;ABS_FIN;CD_VOIE_INF__VOIE;LARGEUR;DATE_MS
A42-A46;E1;0;863;VL;4.5;01/01/1900 00:00:00
A42-A46;S2;0;588;VL;4.5;01/01/1900 00:00:00
A42-A432;E1;0;1037;VL;4.5;01/01/1900 00:00:00
A42-A432;E2;0;1342;VL;4.5;01/01/1900 00:00:00
A42-A432;E3;0;1921;VL;4.5;01/01/1900 00:00:00
A42-A432;S1;0;1266;VL;4.5;01/01/1900 00:00:00
A42-A432;S2;0;1690;VL;4.5;01/01/1900 00:00:00
A42-A432;S4;0;740;VL;4.5;01/01/1900 00:00:00
A5-A10;E1;0;1855;VL;4.5;01/01/1900 00:00:00
A5-A10;S2;0;844;VL;4.5;01/01/1900 00:00:00
A5-A19;E1;0;958;VL;4.5;01/01/1900 00:00:00
A5-A19;S2;0;1935;VL;4.5;01/01/1900 00:00:00
A5-A26;E2;0;917;VL;4.5;01/01/1900 00:00:00
A5-A26;S2;0;876;VL;4.5;01/01/1900 00:00:00
A5-A31;E2;0;844;VL;4.5;01/01/1900 00:00:00
A5-A31;S2;0;2592;VL;4.5;01/01/1900 00:00:00
A5A-N104;E1;0;862;VL;4.5;01/01/1900 00:00:00
A5A-N104;S2;0;1404;VL;4.5;01/01/1900 00:00:00
A6-A31;E2;0;1155;VL;4.5;01/01/1900 00:00:00
A6-A19;S1;0;1437;VL;4.5;01/01/1900 00:00:00
A6-A19;S2;0;2794;VL;4.5;01/01/1900 00:00:00
A6-A31;S1;0;1963;VL;4.5;01/01/1900 00:00:00
A71-A714;E2;0;632;VL;4.5;01/01/1900 00:00:00
A71-A714;S1;0;371;VL;4.5;01/01/1900 00:00:00
A71-A719;E2;0;731;VL;4.5;01/01/1900 00:00:00
A71-A719;S1;0;582;VL;4.5;01/01/1900 00:00:00
A19-A77;E1;0;358;VL;4.5;01/01/1900 00:00:00
A19-A77;E2;0;372;VL;4.5;01/01/1900 00:00:00
A19-A77;S1;0;329;VL;4.5;01/01/1900 00:00:00
A19-A77;S2;0;410;VL;4.5;01/01/1900 00:00:00
A71-A89;E1;0;776;VL;4.5;01/01/1900 00:00:00
A71-A89;E2;0;1273;VL;4.5;01/01/1900 00:00:00
A71-A89;S1;0;809;VL;4.5;01/01/1900 00:00:00
A71-A89;S2;0;1378;VL;4.5;01/01/1900 00:00:00
A71-A711;E1;0;663;VL;4.5;01/01/1900 00:00:00
A71-A711;E2;0;492;VL;4.5;01/01/1900 00:00:00
A71-A711;S1;0;828;VL;4.5;01/01/1900 00:00:00
A71-A711;S2;0;403;VL;4.5;01/01/1900 00:00:00
A71-A710;E1;0;516;VL;4.5;01/01/1900 00:00:00
A71-A710;E2;0;1194;VL;4.5;01/01/1900 00:00:00
A71-A710;E4;0;1150;VL;4.5;01/01/1900 00:00:00
A71-A710;S1;0;1952;VL;4.5;01/01/1900 00:00:00
A71-A710;S2;0;457;VL;4.5;01/01/1900 00:00:00
A71-A710;S3;0;720;VL;4.5;01/01/1900 00:00:00
A105-12.a;E1;0;429;VL;4.5;01/01/1900 00:00:00
A105-11;E2;0;370;VL;4.5;01/01/1900 00:00:00
A105-11;S1;0;580;VL;4.5;01/01/1900 00:00:00
A105-12.a;S1;0;617;VL;4.5;01/01/1900 00:00:00
A105-12.b;S1;0;478;VL;4.5;01/01/1900 00:00:00
A105-12;E2;0;293;VL;4.5;01/01/1900 00:00:00
A105-12;S2;0;383;VL;4.5;01/01/1900 00:00:00
A105-13;E1;0;455;VL;4.5;01/01/1900 00:00:00
A105-13;E2;0;442;VL;4.5;01/01/1900 00:00:00
A105-13;S1;0;325;VL;4.5;01/01/1900 00:00:00
A105-13;S2;0;509;VL;4.5;01/01/1900 00:00:00
A105-14;E1;0;698;VL;4.5;01/01/1900 00:00:00
A105-14;E2;0;474;VL;4.5;01/01/1900 00:00:00
A105-14;S1;0;556;VL;4.5;01/01/1900 00:00:00
A105-14;S2;0;502;VL;4.5;01/01/1900 00:00:00
A105-Est;S2;0;869;VL;4.5;01/01/1900 00:00:00
A19-1;E1;0;820;VL;4.5;01/01/1900 00:00:00
A19-1;E2;0;689;VL;4.5;01/01/1900 00:00:00
A19-1;S1;0;755;VL;4.5;01/01/1900 00:00:00
A19-1;S2;0;633;VL;4.5;01/01/1900 00:00:00
A19-2;E1;0;877;VL;4.5;01/01/1900 00:00:00
A19-2;E2;0;689;VL;4.5;01/01/1900 00:00:00
A19-2;S1;0;1064;VL;4.5;01/01/1900 00:00:00
A26-23;E1;0;823;VL;4.5;01/01/1900 00:00:00
A26-23;E2;0;819;VL;4.5;01/01/1900 00:00:00
A26-23;S1;0;891;VL;4.5;01/01/1900 00:00:00
A26-23;S2;0;858;VL;4.5;01/01/1900 00:00:00
A31-6;E1;0;853;VL;4.5;01/01/1900 00:00:00
A31-6;E2;0;725;VL;4.5;01/01/1900 00:00:00
A31-6;S1;0;802;VL;4.5;01/01/1900 00:00:00
A31-6;S2;0;843;VL;4.5;01/01/1900 00:00:00
A31-1;E1;0;761;VL;4.5;01/01/1900 00:00:00
A31-1;E2;0;334;VL;4.5;01/01/1900 00:00:00
A31-1;S1;0;1019;VL;4.5;01/01/1900 00:00:00
A31-1;S2;0;406;VL;4.5;01/01/1900 00:00:00
A31-10;E1;0;411;VL;4.5;01/01/1900 00:00:00
A31-10;E2;0;371;VL;4.5;01/01/1900 00:00:00
A31-10;S1;0;501;VL;4.5;01/01/1900 00:00:00
A31-10;S2;0;443;VL;4.5;01/01/1900 00:00:00
A31-11;E1;0;501;VL;4.5;01/01/1900 00:00:00
A31-11;E2;0;929;VL;4.5;01/01/1900 00:00:00
A31-11;S1;0;745;VL;4.5;01/01/1900 00:00:00
A31-11;S2;0;821;VL;4.5;01/01/1900 00:00:00
A31-12;E2;0;486;VL;4.5;01/01/1900 00:00:00
A31-12;S1;0;1137;VL;4.5;01/01/1900 00:00:00
A31-4;E1;0;1666;VL;4.5;01/01/1900 00:00:00
A31-4;E2;0;572;VL;4.5;01/01/1900 00:00:00
A31-4;S1;0;744;VL;4.5;01/01/1900 00:00:00
A31-4;S2;0;1065;VL;4.5;01/01/1900 00:00:00
A31-5;E1;0;889;VL;4.5;01/01/1900 00:00:00
A31-5;E2;0;1100;VL;4.5;01/01/1900 00:00:00
A31-5;S1;0;913;VL;4.5;01/01/1900 00:00:00
A31-5;S2;0;1079;VL;4.5;01/01/1900 00:00:00
A31-7;E1;0;732;VL;4.5;01/01/1900 00:00:00
A31-7;E2;0;1113;VL;4.5;01/01/1900 00:00:00
A31-7;S1;0;1559;VL;4.5;01/01/1900 00:00:00
A31-7;S2;0;491;VL;4.5;01/01/1900 00:00:00
A31-8;E1;0;1088;VL;4.5;01/01/1900 00:00:00
A31-8;E2;0;334;VL;4.5;01/01/1900 00:00:00
A31-8;S1;0;1247;VL;4.5;01/01/1900 00:00:00
A31-8;S2;0;440;VL;4.5;01/01/1900 00:00:00
A31-8.1;E1;0;738;VL;4.5;01/01/1900 00:00:00
A31-8.1;E2;0;685;VL;4.5;01/01/1900 00:00:00
A31-8.1;S1;0;502;VL;4.5;01/01/1900 00:00:00
A31-8.1;S2;0;673;VL;4.5;01/01/1900 00:00:00
A31-9;E1;0;480;VL;4.5;01/01/1900 00:00:00
A31-9;E2;0;811;VL;4.5;01/01/1900 00:00:00
A31-9;S1;0;628;VL;4.5;01/01/1900 00:00:00
A31-9;S2;0;850;VL;4.5;01/01/1900 00:00:00
A36-1;E1;0;756;VL;4.5;01/01/1900 00:00:00
A36-9;E1;0;956;VL;4.5;01/01/1900 00:00:00
A36-9;E2;0;488;VL;4.5;01/01/1900 00:00:00
A36-1;E2;0;291;VL;4.5;01/01/1900 00:00:00
A36-9;S1;0;597;VL;4.5;01/01/1900 00:00:00
A36-1;S1;0;848;VL;4.5;01/01/1900 00:00:00
A36-1;S2;0;346;VL;4.5;01/01/1900 00:00:00
A36-9;S2;0;748;VL;4.5;01/01/1900 00:00:00
A36-10;E1;0;194;VL;4.5;01/01/1900 00:00:00
A36-10;E2;0;227;VL;4.5;01/01/1900 00:00:00
A36-10;S1;0;352;VL;4.5;01/01/1900 00:00:00
A36-10;S2;0;328;VL;4.5;01/01/1900 00:00:00
A36-11;E1;0;347;VL;4.5;01/01/1900 00:00:00
A36-11;E2;0;331;VL;4.5;01/01/1900 00:00:00
A36-11;S1;0;389;VL;4.5;01/01/1900 00:00:00
A36-11;S2;0;200;VL;4.5;01/01/1900 00:00:00
A36-12;E1;0;230;VL;4.5;01/01/1900 00:00:00
A36-12;E2;0;386;VL;4.5;01/01/1900 00:00:00
A36-12;S1;0;310;VL;4.5;01/01/1900 00:00:00
A36-12;S2;0;542;VL;4.5;01/01/1900 00:00:00
A36-12;S4;0;455;VL;4.5;01/01/1900 00:00:00
A36-13;E1;0;346;VL;4.5;01/01/1900 00:00:00
A36-13;E2;0;331;VL;4.5;01/01/1900 00:00:00
A36-13;S1;0;475;VL;4.5;01/01/1900 00:00:00
A36-13;S2;0;239;VL;4.5;01/01/1900 00:00:00
A36-14;E1;0;354;VL;4.5;01/01/1900 00:00:00
A36-14;E2;0;355;VL;4.5;01/01/1900 00:00:00
A36-14;E3;0;412;VL;4.5;01/01/1900 00:00:00
A36-14;E4;0;543;VL;4.5;01/01/1900 00:00:00
A36-14;S1;0;456;VL;4.5;01/01/1900 00:00:00
A36-14;S2;0;378;VL;4.5;01/01/1900 00:00:00
A36-14.1;E1;0;214;VL;4.5;01/01/1900 00:00:00
A36-14.1;E2;0;664;VL;4.5;01/01/1900 00:00:00
A36-14.1;S1;0;429;VL;4.5;01/01/1900 00:00:00
A36-14.1;S2;0;251;VL;4.5;01/01/1900 00:00:00
A36-15;E1;0;439;VL;4.5;01/01/1900 00:00:00
A36-15;E2;0;731;VL;4.5;01/01/1900 00:00:00
A36-15;S1;0;790;VL;4.5;01/01/1900 00:00:00
A36-15;S2;0;208;VL;4.5;01/01/1900 00:00:00
A36-16;E1;0;539;VL;4.5;01/01/1900 00:00:00
A36-16;S2;0;488;VL;4.5;01/01/1900 00:00:00
A36-2;E1;0;1009;VL;4.5;01/01/1900 00:00:00
A36-2;E2;0;699;VL;4.5;01/01/1900 00:00:00
A36-2;S1;0;1094;VL;4.5;01/01/1900 00:00:00
A36-2;S2;0;464;VL;4.5;01/01/1900 00:00:00
A36-2.1;E1;0;1013;VL;4.5;01/01/1900 00:00:00
A36-2.1;E2;0;221;VL;4.5;01/01/1900 00:00:00
A36-2.1;S1;0;1173;VL;4.5;01/01/1900 00:00:00
A36-2.1;S2;0;503;VL;4.5;01/01/1900 00:00:00
A36-3;E1;0;713;VL;4.5;01/01/1900 00:00:00
A36-3;E2;0;234;VL;4.5;01/01/1900 00:00:00
A36-3;S1;0;672;VL;4.5;01/01/1900 00:00:00
A36-3;S2;0;555;VL;4.5;01/01/1900 00:00:00
A36-4;E1;0;982;VL;4.5;01/01/1900 00:00:00
A36-4;E2;0;420;VL;4.5;01/01/1900 00:00:00
A36-4;S1;0;951;VL;4.5;01/01/1900 00:00:00
A36-4;S2;0;688;VL;4.5;01/01/1900 00:00:00
A36-4.1;E1;0;911;VL;4.5;01/01/1900 00:00:00
A36-4.1;E2;0;368;VL;4.5;01/01/1900 00:00:00
A36-4.1;S1;0;980;VL;4.5;01/01/1900 00:00:00
A36-4.1;S2;0;402;VL;4.5;01/01/1900 00:00:00
A36-5;E1;0;581;VL;4.5;01/01/1900 00:00:00
A36-5;E2;0;511;VL;4.5;01/01/1900 00:00:00
A36-5;S1;0;676;VL;4.5;01/01/1900 00:00:00
A36-5;S2;0;451;VL;4.5;01/01/1900 00:00:00
A36-6;E1;0;957;VL;4.5;01/01/1900 00:00:00
A36-6;E2;0;293;VL;4.5;01/01/1900 00:00:00
A36-6;S1;0;606;VL;4.5;01/01/1900 00:00:00
A36-6;S2;0;681;VL;4.5;01/01/1900 00:00:00
A36-6.1;E1;0;337;VL;4.5;01/01/1900 00:00:00
A36-6.1;E2;0;359;VL;4.5;01/01/1900 00:00:00
A36-6.1;S1;0;343;VL;4.5;01/01/1900 00:00:00
A36-6.1;S2;0;474;VL;4.5;01/01/1900 00:00:00
A36-7;E1;0;343;VL;4.5;01/01/1900 00:00:00
A36-7;E2;0;115;VL;4.5;01/01/1900 00:00:00
A36-7;S1;0;314;VL;4.5;01/01/1900 00:00:00
A36-7;S2;0;226;VL;4.5;01/01/1900 00:00:00
A36-8;E1;0;494;VL;4.5;01/01/1900 00:00:00
A36-8;E2;0;746;VL;4.5;01/01/1900 00:00:00
A36-8;S1;0;499;VL;4.5;01/01/1900 00:00:00
A36-8;S2;0;821;VL;4.5;01/01/1900 00:00:00
A39-1;E1;0;584;VL;4.5;01/01/1900 00:00:00
A39-1;S2;0;408;VL;4.5;01/01/1900 00:00:00
